developer,manufacturer,complete_core,missing_fields,mdc_combinations,mdc_films
Silberra Ascorol,Silberra,YES,shelf_life_stock,56,51
Silberra Micro-F,Silberra,YES,"shelf_life_opened,shelf_life_stock",2,2
Silberra Microl,Silberra,YES,"shelf_life_opened,shelf_life_stock",5,5
Silberra Pyro-HD,Silberra,NO,"capacity_text,shelf_life_opened,shelf_life_stock",6,4
Silberra RDN-LQ,Silberra,NO,"physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",14,10
Silberra S-76,Silberra,YES,"shelf_life_opened,shelf_life_stock",10,6
Silvermax,ADOX Fotowerke GmbH,YES,shelf_life_stock,38,22
SP-76EC,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",22,12
SP-Ultra 4LF,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",10,10
SPD,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",44,17
Sprint Standard,Sprint Systems of Photography,NO,"shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",73,61
Spur Dokuspeed SL,SPUR Photochemie Dr. Heidrich und Schain GbR,NO,"preparation,shelf_life_opened,shelf_life_stock",7,1
Spur Dokuspeed SL-N,SPUR Photochemie Dr. Heidrich und Schain GbR,NO,"preparation,shelf_life_opened,shelf_life_stock",6,1
Spur HRX,SPUR Photochemie Dr. Heidrich und Schain GbR,NO,"reuse_mode,shelf_life_opened,shelf_life_stock,shelf_life_working",53,46
Spur Modular UR,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",1,1
Spur Nanospeed,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",1,1
Spur Nanotech UR,SPUR Photochemie Dr. Heidrich und Schain GbR,NO,"preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",12,2
Spur NHC,SPUR Photochemie Dr. Heidrich und Schain GbR,NO,"physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",49,18
Spur Omega X,SPUR Photochemie Dr. Heidrich und Schain GbR,NO,"reuse_mode,capacity_text,shelf_life_opened,shelf_life_stock",6,6
Spur PXD,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",13,9
Spur SD 2525,SPUR Photochemie Dr. Heidrich und Schain GbR,NO,"reuse_mode,capacity_text,shelf_life_opened,shelf_life_stock,shelf_life_working",31,28
Spur SHADOWmax,SPUR Photochemie Dr. Heidrich und Schain GbR,NO,"reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",67,14
Spur SLD,SPUR Photochemie Dr. Heidrich und Schain GbR,NO,"physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",128,46
Spur Speed-Major,SPUR Photochemie Dr. Heidrich und Schain GbR,NO,"physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",184,32
Spur TRX 2000,SPUR Photochemie Dr. Heidrich und Schain GbR,NO,"physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",66,47
Spur UFP,SPUR Photochemie Dr. Heidrich und Schain GbR,NO,"preparation,reuse_mode,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",33,33
Stoeckler,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",2,1
Studional,BERGGER,NO,"physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",97,53
Suprol,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",31,29
Tanol,Moersch Photochemie,NO,"reuse_mode,shelf_life_opened,shelf_life_stock,shelf_life_working",75,47
Tanol Speed,Moersch Photochemie,NO,"reuse_mode,shelf_life_opened,shelf_life_stock",10,10
TD-3,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",3,2
TFX-2,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",5,5
TMax Dev,Kodak Alaris,YES,"shelf_life_opened,shelf_life_stock",333,104
TMax RS,Kodak Alaris,NO,"preparation,capacity_text,shelf_life_opened,shelf_life_stock",165,53
Ultrafin,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",141,70
Ultrafin T-Plus,Tetenal,NO,"reuse_mode,shelf_life_opened,shelf_life_stock",38,35
Ultrafine Endurance,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",16,16
Ultrafine Liquid,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",44,25
Ultrafine Powder,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",33,20
Uncle Mort's,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",29,23
UPB-1,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",1,1
WD2D+,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",24,22
Wehner Developer,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",5,4
Wiedermann RSC,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",2,2
Windisch,,NO,"manufacturer,physical_state,preparation,reuse_mode,capacity_text,shelf_life_unopened,shelf_life_opened,shelf_life_stock,shelf_life_working",2,2
XT-3,ADOX Fotowerke GmbH,YES,"shelf_life_opened,shelf_life_working",956,160
Xtol,Kodak Alaris,YES,"shelf_life_unopened,shelf_life_opened,shelf_life_working",1022,181
